"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "Vue", "SQL", "comment", "blank", "total"
"d:\project_tech\vis_front\vis_front_demo\src\components\EchartsDemo.vue", "Vue", 0, 0, 0, 0, 39, 0, 2, 3, 44
"d:\project_tech\vis_front\vis_front_demo\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 0, 33, 0, 1, 6, 40
"d:\project_tech\vis_front\vis_front_demo\src\components\LiquidityAndQuickRatioChart.vue", "Vue", 0, 0, 0, 0, 145, 0, 6, 2, 153
"d:\project_tech\vis_front\vis_front_demo\src\components\SmoothedLineChart.vue", "Vue", 0, 0, 0, 0, 203, 0, 1, 1, 205
"d:\project_tech\vis_front\vis_front_demo\src\components\itemFour.vue", "Vue", 0, 0, 0, 0, 123, 0, 4, 15, 142
"d:\project_tech\vis_front\vis_front_demo\src\components\itemMid.vue", "Vue", 0, 0, 0, 0, 157, 0, 0, 13, 170
"d:\project_tech\vis_front\vis_front_demo\src\components\itemMidUp.vue", "Vue", 0, 0, 0, 0, 172, 0, 0, 14, 186
"d:\project_tech\vis_front\vis_front_demo\src\components\itemOne.vue", "Vue", 0, 0, 0, 0, 89, 0, 0, 10, 99
"d:\project_tech\vis_front\vis_front_demo\src\components\itemPage.vue", "Vue", 0, 0, 0, 0, 17, 0, 2, 4, 23
"d:\project_tech\vis_front\vis_front_demo\src\components\itemThree.vue", "Vue", 0, 0, 0, 0, 141, 0, 0, 16, 157
"d:\project_tech\vis_front\vis_front_demo\src\components\itemTwo.vue", "Vue", 0, 0, 0, 0, 125, 0, 2, 14, 141
"d:\project_tech\vis_front\vis_front_demo\src\components\midItemPage.vue", "Vue", 0, 0, 0, 0, 17, 0, 2, 4, 23
"d:\project_tech\vis_front\vis_front_demo\src\data\acounting-information.sql", "SQL", 0, 0, 0, 0, 0, 451, 33, 9, 493
"d:\project_tech\vis_front\vis_front_demo\src\data\data.js", "JavaScript", 0, 524, 0, 0, 0, 0, 0, 25, 549
"d:\project_tech\vis_front\vis_front_demo\src\main.js", "JavaScript", 0, 14, 0, 0, 0, 0, 5, 5, 24
"d:\project_tech\vis_front\vis_front_demo\src\router\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 1, 4, 21
"d:\project_tech\vis_front\vis_front_demo\src\views\homePage.vue", "Vue", 0, 0, 0, 0, 80, 0, 13, 11, 104
"d:\project_tech\vis_front\vis_front_demo\src\views\itemThree.vue", "Vue", 0, 0, 0, 0, 135, 0, 0, 15, 150
"d:\project_tech\vis_front\vis_front_demo\src\views\view1.vue", "Vue", 0, 0, 0, 0, 96, 0, 6, 10, 112
"Total", "-", 18997, 1698, 11, 14, 1800, 451, 165, 362, 23498
